Orthogroup	Fungus_transcripts.fasta.transdecoder	Krisp1_GeneModels_FilteredModels3_aa	Leucosporidium_creatinivorum_proteins_aa	Mereb1_GeneCatalog_proteins_20150713.aa	Micld1_GeneCatalog_proteins_20161101.aa	Mortiella_alpina_proteins_aa	Pseudohyphozyma_borogiensis_proteins_aa	Rhodoturola_mucilaginosa_protein_aa	Rhodoturola_turoloides_protein_aa	Rhoglu1_GeneCatalog_proteins_20160519.aa	Saccharomyces_cerevisae_protein_aa	Sclerotinia_borealis_proteins_aa	Slopil1_GeneCatalog_proteins_20180422.aa	Total
OG0000085	4	6	3	7	4	3	3	3	3	3	1	3	9	52
OG0000086	6	8	6	7	2	0	6	2	3	3	0	0	9	52
OG0000087	6	6	5	7	2	0	2	3	4	3	3	9	2	52
OG0000088	4	4	5	3	5	2	3	4	4	2	6	6	4	52
OG0000089	4	3	5	6	3	4	5	3	4	4	6	4	1	52
OG0000090	4	5	1	5	2	1	9	3	3	3	1	3	11	51
OG0000091	0	0	0	0	0	0	0	0	0	0	51	0	0	51
OG0000092	5	4	3	5	5	4	3	2	4	4	4	3	4	50
OG0000093	9	6	1	2	0	0	1	0	0	0	0	0	31	50
OG0000094	8	6	7	10	3	0	4	1	3	3	0	0	4	49
OG0000095	0	18	22	1	0	0	0	4	2	2	0	0	0	49
OG0000096	6	7	7	5	3	0	6	1	2	2	0	1	8	48
OG0000097	12	7	2	2	4	1	1	3	3	4	0	9	0	48
OG0000098	4	8	3	3	1	1	5	3	3	3	0	9	5	48
OG0000099	3	6	3	6	3	6	2	2	2	3	4	2	5	47
OG0000100	7	8	5	4	1	0	2	1	2	2	6	7	2	47
OG0000101	5	2	7	3	0	0	3	0	12	8	0	0	7	47
OG0000102	6	13	5	5	2	0	2	2	1	1	2	1	7	47
OG0000103	5	3	5	3	6	0	1	4	4	5	0	4	7	47
OG0000104	3	6	2	4	2	13	3	1	1	1	1	6	4	47
OG0000105	0	0	0	0	0	47	0	0	0	0	0	0	0	47
OG0000106	0	0	0	0	0	0	0	0	0	0	0	0	47	47
OG0000107	3	3	4	4	1	0	4	2	6	7	1	7	4	46
OG0000108	5	8	5	6	2	0	5	3	3	3	0	0	6	46
OG0000109	2	7	3	7	1	0	3	3	5	6	0	0	9	46
OG0000110	3	3	4	4	3	11	0	3	3	2	4	3	3	46
OG0000111	6	11	3	4	3	0	7	3	3	2	0	0	4	46
OG0000112	3	3	4	4	4	6	4	2	2	2	4	3	4	45
OG0000113	4	12	8	6	1	2	2	1	1	1	3	3	1	45
OG0000114	4	5	4	3	7	0	4	2	2	2	5	3	4	45
OG0000115	4	4	3	3	3	3	3	1	2	2	3	5	9	45
OG0000116	6	3	2	2	3	3	4	3	4	4	2	4	5	45
OG0000117	4	12	6	7	0	0	2	3	4	4	0	0	3	45
OG0000118	0	3	5	9	0	2	8	2	2	2	0	4	8	45
OG0000119	4	11	5	4	1	1	3	1	2	2	0	6	4	44
OG0000120	7	4	3	2	2	3	1	6	4	4	3	5	0	44
OG0000121	1	38	0	2	0	0	3	0	0	0	0	0	0	44
OG0000122	0	44	0	0	0	0	0	0	0	0	0	0	0	44
OG0000123	0	0	42	0	0	0	0	1	0	0	0	0	1	44
OG0000124	6	4	3	5	1	3	4	3	3	3	3	3	2	43
OG0000125	15	3	0	0	0	0	1	1	2	2	0	0	19	43
OG0000126	9	7	4	6	5	2	2	1	2	3	0	0	2	43
OG0000127	5	5	4	4	3	2	2	3	3	3	2	2	5	43
OG0000128	18	9	1	3	0	0	2	0	0	0	0	0	10	43
OG0000129	3	3	3	5	3	6	1	3	3	3	3	4	3	43
OG0000130	3	3	3	4	3	8	3	2	3	3	2	2	4	43
OG0000131	9	8	23	0	0	0	1	0	0	0	0	1	1	43
OG0000132	3	10	2	6	1	1	5	1	0	0	0	6	8	43
OG0000133	1	2	2	3	1	18	1	1	1	1	3	6	3	43
OG0000134	5	6	4	4	1	0	2	2	3	3	0	5	7	42
OG0000135	3	7	3	4	2	1	3	3	4	5	0	2	5	42
OG0000136	5	6	4	3	0	1	3	1	3	3	3	6	3	41
OG0000137	25	0	0	3	1	0	0	2	3	3	0	1	3	41
OG0000138	2	5	6	3	2	1	4	2	2	1	3	4	6	41
OG0000139	4	9	1	4	1	0	2	1	1	1	0	2	15	41
OG0000140	2	1	6	3	10	1	8	2	2	2	0	0	4	41
OG0000141	1	4	5	5	2	1	3	3	3	4	4	2	4	41
OG0000142	4	5	3	4	7	0	3	2	4	4	0	0	4	40
OG0000143	7	3	3	5	0	0	3	1	1	1	0	4	12	40
OG0000144	7	8	3	3	1	0	1	2	3	3	0	3	6	40
OG0000145	6	7	4	5	5	0	1	2	3	3	0	1	3	40
OG0000146	5	6	4	5	2	2	2	4	3	3	1	1	2	40
OG0000147	5	4	2	6	4	1	5	3	2	2	1	1	4	40
OG0000148	6	8	2	3	0	6	5	1	2	2	1	1	3	40
OG0000149	7	9	4	4	2	1	1	2	3	3	1	2	1	40
OG0000150	3	4	3	3	4	1	4	4	2	2	2	2	6	40
OG0000151	2	6	2	3	1	0	12	0	1	2	0	0	11	40
OG0000152	2	10	4	3	3	0	5	0	1	1	0	1	10	40
OG0000153	0	0	0	2	36	0	1	0	0	0	0	0	1	40
