Orthogroup	Fungus_transcripts.fasta.transdecoder	Krisp1_GeneModels_FilteredModels3_aa	Leucosporidium_creatinivorum_proteins_aa	Mereb1_GeneCatalog_proteins_20150713.aa	Micld1_GeneCatalog_proteins_20161101.aa	Mortiella_alpina_proteins_aa	Pseudohyphozyma_borogiensis_proteins_aa	Rhodoturola_mucilaginosa_protein_aa	Rhodoturola_turoloides_protein_aa	Rhoglu1_GeneCatalog_proteins_20160519.aa	Saccharomyces_cerevisae_protein_aa	Sclerotinia_borealis_proteins_aa	Slopil1_GeneCatalog_proteins_20180422.aa	Total
OG0001247	1	1	1	1	1	2	1	1	2	1	2	1	1	16
OG0001248	1	1	1	1	0	2	1	1	1	1	0	5	1	16
OG0001249	1	1	1	1	1	1	1	2	3	1	1	1	1	16
OG0001250	1	1	1	2	1	1	1	1	1	3	1	1	1	16
OG0001251	1	4	1	1	1	1	1	1	1	0	1	2	1	16
OG0001252	1	3	1	1	0	0	3	1	1	1	0	0	4	16
OG0001253	1	2	1	1	2	2	1	1	1	1	1	1	1	16
OG0001254	2	1	1	1	1	2	1	1	1	1	1	1	2	16
OG0001255	1	1	1	1	1	2	1	1	1	1	1	2	2	16
OG0001256	1	1	1	1	1	2	3	0	1	1	2	1	1	16
OG0001257	1	2	1	1	1	1	2	1	1	1	1	1	2	16
OG0001258	1	1	1	1	1	2	2	1	1	1	2	1	1	16
OG0001259	1	1	1	1	1	3	1	1	1	1	2	1	1	16
OG0001260	1	2	1	3	1	0	1	1	1	1	1	1	2	16
OG0001261	1	1	2	2	2	0	1	1	1	1	0	0	4	16
OG0001262	1	1	2	1	1	2	0	1	1	2	1	1	2	16
OG0001263	1	1	1	1	2	3	1	1	1	1	1	1	1	16
OG0001264	2	2	1	1	0	0	2	0	0	0	0	6	2	16
OG0001265	1	1	2	2	1	1	2	1	1	1	0	1	2	16
OG0001266	1	1	1	1	1	2	1	1	1	1	3	1	1	16
OG0001267	2	2	5	2	0	0	1	1	1	1	0	0	1	16
OG0001268	1	4	0	2	1	2	2	1	1	1	0	0	1	16
OG0001269	1	1	1	1	1	3	1	1	1	2	1	1	1	16
OG0001270	2	9	3	1	0	0	0	0	0	0	0	0	1	16
OG0001271	1	3	1	1	1	1	1	2	1	1	1	1	1	16
OG0001272	1	1	1	1	1	2	1	1	1	2	2	1	1	16
OG0001273	1	1	1	1	1	2	1	1	1	1	2	2	1	16
OG0001274	1	1	1	2	2	2	1	1	1	1	1	1	1	16
OG0001275	2	1	1	1	1	2	1	1	1	1	2	1	1	16
OG0001276	1	0	1	1	1	1	1	1	1	1	2	2	3	16
OG0001277	1	1	1	1	1	3	1	1	1	1	2	1	1	16
OG0001278	2	1	1	1	3	1	1	1	1	1	1	1	1	16
OG0001279	4	1	1	1	1	1	1	1	1	1	1	1	1	16
OG0001280	1	1	1	1	1	4	1	1	1	1	1	1	1	16
OG0001281	1	1	1	1	1	1	1	1	2	3	1	1	1	16
OG0001282	1	1	1	1	1	3	1	1	1	1	2	1	1	16
OG0001283	1	1	3	1	0	0	0	0	0	0	0	0	10	16
OG0001284	1	1	1	1	2	3	0	2	1	1	1	1	1	16
OG0001285	1	1	2	1	2	1	1	1	1	1	2	1	1	16
OG0001286	1	4	2	1	0	0	1	1	1	1	0	0	4	16
OG0001287	1	2	1	1	1	2	1	1	1	2	1	1	1	16
OG0001288	1	2	1	1	2	2	1	1	1	1	1	1	1	16
OG0001289	1	2	2	1	1	1	1	1	1	1	1	2	1	16
OG0001290	1	2	2	1	1	1	1	1	1	1	1	1	2	16
OG0001291	1	1	1	1	3	2	0	1	2	2	0	1	1	16
OG0001292	1	1	1	1	1	2	1	1	1	2	2	1	1	16
OG0001293	1	1	1	1	1	1	1	1	1	1	1	4	1	16
OG0001294	1	4	1	1	1	1	1	1	1	1	1	1	1	16
OG0001295	1	2	1	1	1	3	0	1	1	1	1	2	1	16
OG0001296	1	1	1	1	1	2	1	3	1	1	1	1	1	16
OG0001297	1	6	0	0	0	0	2	0	0	0	0	0	7	16
OG0001298	1	2	1	1	1	2	1	1	1	1	1	2	1	16
OG0001299	0	2	1	1	1	2	1	2	1	1	1	1	2	16
OG0001300	0	1	1	1	1	2	1	1	1	1	4	1	1	16
OG0001301	0	2	2	2	4	0	0	1	1	1	0	0	3	16
OG0001302	0	1	1	1	2	5	1	1	1	1	0	1	1	16
OG0001303	0	1	2	1	4	0	1	1	3	3	0	0	0	16
OG0001304	0	2	2	1	1	0	1	1	2	2	1	1	2	16
OG0001305	0	1	1	1	1	4	1	0	1	2	1	2	1	16
OG0001306	0	1	1	1	1	2	1	1	1	1	3	2	1	16
OG0001307	0	1	1	1	1	1	1	0	1	1	4	3	1	16
OG0001308	0	1	1	1	1	3	1	1	1	1	1	2	2	16
OG0001309	0	2	1	1	1	3	1	1	1	1	2	1	1	16
OG0001310	0	1	1	0	0	0	1	5	7	1	0	0	0	16
OG0001311	0	0	16	0	0	0	0	0	0	0	0	0	0	16
OG0001312	0	0	3	0	0	0	0	0	1	1	0	0	11	16
OG0001313	0	0	3	0	0	0	6	1	1	1	0	0	4	16
OG0001314	0	0	0	6	0	0	3	1	0	0	0	0	6	16
OG0001315	0	0	0	0	0	16	0	0	0	0	0	0	0	16
OG0001316	0	0	0	0	0	0	16	0	0	0	0	0	0	16
OG0001317	0	0	0	0	0	0	0	1	9	6	0	0	0	16
OG0001318	0	0	0	0	0	0	0	0	0	0	0	0	16	16
OG0001319	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001320	1	1	1	1	1	1	1	1	1	3	1	1	1	15
OG0001321	2	2	1	1	1	2	1	1	1	1	0	1	1	15
OG0001322	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001323	1	2	2	1	1	1	1	1	1	1	1	1	1	15
OG0001324	2	2	2	0	0	0	0	3	1	1	0	2	2	15
OG0001325	2	2	1	1	1	1	1	1	1	1	1	1	1	15
OG0001326	1	1	1	1	1	2	2	1	1	1	1	1	1	15
OG0001327	1	1	1	4	4	0	0	0	2	2	0	0	0	15
OG0001328	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001329	2	6	0	1	0	0	1	0	0	0	0	0	5	15
OG0001330	2	1	0	0	0	0	1	0	0	1	0	0	10	15
OG0001331	1	1	1	1	1	1	2	1	1	1	1	1	2	15
OG0001332	8	7	0	0	0	0	0	0	0	0	0	0	0	15
OG0001333	2	2	1	2	1	1	0	1	1	1	1	1	1	15
OG0001334	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001335	1	2	0	1	1	2	0	2	1	1	2	1	1	15
OG0001336	2	1	1	1	1	0	1	2	3	1	1	0	1	15
OG0001337	1	2	1	1	2	1	1	1	1	1	1	1	1	15
OG0001338	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001339	1	2	2	1	1	1	1	1	1	1	1	1	1	15
OG0001340	2	2	1	1	0	0	1	2	2	2	0	1	1	15
OG0001341	1	1	1	1	1	1	1	1	2	2	1	1	1	15
OG0001342	1	2	1	1	1	2	1	1	1	1	1	1	1	15
OG0001343	2	2	1	1	1	0	2	1	1	1	0	1	2	15
OG0001344	13	1	0	1	0	0	0	0	0	0	0	0	0	15
OG0001345	2	1	1	1	1	0	1	1	1	1	2	1	2	15
OG0001346	1	2	1	1	1	2	0	1	1	1	0	3	1	15
OG0001347	2	1	1	1	1	2	1	1	1	1	1	1	1	15
OG0001348	2	1	2	1	2	0	1	1	1	1	1	1	1	15
OG0001349	8	5	0	2	0	0	0	0	0	0	0	0	0	15
OG0001350	1	2	1	1	1	1	1	1	1	1	2	1	1	15
OG0001351	4	1	1	1	1	1	1	1	1	1	0	1	1	15
OG0001352	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001353	1	1	1	1	1	2	1	1	1	1	1	2	1	15
OG0001354	4	1	1	1	1	0	1	2	1	1	0	1	1	15
OG0001355	2	1	1	1	1	2	1	1	2	1	0	1	1	15
OG0001356	2	2	1	1	1	2	0	1	1	1	1	1	1	15
OG0001357	2	3	1	1	1	2	0	1	1	0	1	1	1	15
OG0001358	1	5	1	2	1	0	1	1	1	1	0	0	1	15
OG0001359	4	1	0	2	0	0	2	1	1	1	0	0	3	15
OG0001360	1	3	1	1	1	1	1	1	1	1	1	1	1	15
OG0001361	1	1	1	1	1	1	1	2	1	1	2	1	1	15
OG0001362	3	1	2	2	1	1	1	1	1	1	0	0	1	15
OG0001363	4	1	0	1	2	3	0	1	1	1	0	0	1	15
OG0001364	2	1	1	1	2	1	1	1	1	1	1	1	1	15
OG0001365	2	1	1	1	0	0	0	0	0	0	0	10	0	15
OG0001366	2	1	1	1	1	1	0	1	1	1	3	1	1	15
OG0001367	2	1	1	1	1	2	1	1	1	1	1	1	1	15
OG0001368	1	1	1	1	2	1	1	2	1	1	1	1	1	15
OG0001369	1	1	1	1	1	4	1	1	1	1	0	1	1	15
OG0001370	2	2	1	2	1	1	2	1	1	1	0	0	1	15
OG0001371	1	1	2	2	1	2	1	1	1	1	0	1	1	15
OG0001372	2	1	1	1	1	1	1	1	1	1	2	1	1	15
OG0001373	5	2	0	2	0	0	1	0	0	0	0	1	4	15
OG0001374	4	0	0	0	0	0	2	3	2	2	0	1	1	15
OG0001375	2	4	1	1	0	0	3	1	1	1	0	0	1	15
OG0001376	3	0	3	1	0	0	2	1	1	1	0	3	0	15
OG0001377	1	1	1	1	1	3	0	1	1	1	2	1	1	15
OG0001378	2	2	1	1	1	1	1	1	1	1	1	1	1	15
OG0001379	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001380	1	1	1	1	1	1	2	1	1	1	1	1	2	15
OG0001381	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001382	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001383	2	1	1	1	1	1	1	1	1	1	1	1	2	15
OG0001384	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001385	2	2	1	1	1	1	1	1	1	1	1	1	1	15
OG0001386	2	2	1	2	0	0	1	0	0	0	0	6	1	15
OG0001387	2	2	1	1	1	1	1	1	1	1	1	1	1	15
OG0001388	1	2	1	1	1	1	1	1	1	1	1	1	2	15
OG0001389	1	1	1	1	3	1	1	1	1	1	1	1	1	15
OG0001390	1	1	1	1	2	1	1	1	1	1	2	1	1	15
OG0001391	1	0	0	4	0	0	0	0	0	0	0	3	7	15
OG0001392	1	1	1	1	2	1	1	1	1	1	1	1	2	15
OG0001393	2	1	1	1	1	2	2	1	1	1	0	0	2	15
OG0001394	1	2	1	1	1	1	1	1	1	1	2	1	1	15
OG0001395	1	1	1	1	1	2	1	1	1	2	1	1	1	15
OG0001396	1	2	1	1	1	1	1	1	1	1	1	1	2	15
OG0001397	1	1	1	1	1	3	1	1	1	1	1	1	1	15
OG0001398	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001399	3	2	1	2	1	0	2	0	1	1	0	0	2	15
OG0001400	1	2	1	1	2	1	1	1	1	1	1	1	1	15
OG0001401	1	1	1	1	1	0	1	1	1	2	2	1	2	15
OG0001402	1	2	1	1	2	1	1	1	1	1	1	1	1	15
OG0001403	1	2	1	1	1	1	1	1	1	1	2	1	1	15
OG0001404	1	1	1	1	1	2	1	1	1	1	1	2	1	15
OG0001405	1	1	1	1	1	2	1	1	1	1	1	2	1	15
OG0001406	2	1	1	1	1	2	1	1	1	1	1	1	1	15
OG0001407	1	2	1	1	3	1	1	1	0	1	1	1	1	15
OG0001408	13	2	0	0	0	0	0	0	0	0	0	0	0	15
OG0001409	3	2	2	2	0	0	1	1	1	1	0	1	1	15
OG0001410	1	1	1	1	1	1	2	1	1	1	2	1	1	15
OG0001411	1	2	1	1	0	2	1	1	1	1	2	1	1	15
OG0001412	1	1	1	1	1	1	1	1	1	1	2	2	1	15
OG0001413	2	3	3	2	1	0	0	2	1	1	0	0	0	15
OG0001414	1	1	1	1	1	1	1	1	1	3	1	1	1	15
OG0001415	1	13	0	1	0	0	0	0	0	0	0	0	0	15
OG0001416	1	1	3	1	1	1	1	1	1	1	1	1	1	15
OG0001417	1	1	1	1	1	2	1	2	1	1	1	1	1	15
OG0001418	1	1	2	1	1	2	0	1	1	1	2	1	1	15
OG0001419	1	1	2	1	1	1	1	2	1	1	0	2	1	15
OG0001420	2	2	1	1	1	1	1	1	1	1	1	1	1	15
OG0001421	1	2	1	1	1	2	1	1	1	1	1	1	1	15
OG0001422	1	1	1	2	1	0	1	1	1	1	0	3	2	15
OG0001423	1	1	1	1	3	1	1	1	1	1	1	1	1	15
OG0001424	2	1	1	1	1	2	1	1	1	1	0	1	2	15
OG0001425	3	1	2	1	1	1	1	1	1	1	1	0	1	15
OG0001426	2	1	1	1	1	1	1	1	1	1	2	1	1	15
OG0001427	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001428	1	1	1	1	2	1	1	1	1	1	1	2	1	15
OG0001429	1	2	1	1	1	1	1	1	1	1	1	2	1	15
OG0001430	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001431	1	2	1	2	1	2	2	1	1	1	0	0	1	15
OG0001432	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001433	2	1	2	1	1	0	1	2	2	2	0	0	1	15
OG0001434	2	2	1	1	1	2	1	1	1	1	0	1	1	15
OG0001435	1	1	1	1	2	2	0	1	1	1	2	1	1	15
OG0001436	2	1	1	1	1	1	1	1	1	1	1	2	1	15
OG0001437	1	1	1	1	1	3	1	1	1	1	1	1	1	15
OG0001438	1	1	1	1	2	1	1	1	1	1	1	2	1	15
OG0001439	1	1	1	1	1	2	1	1	1	1	1	2	1	15
OG0001440	2	2	2	2	1	1	1	1	1	1	0	0	1	15
OG0001441	1	2	1	1	1	1	1	1	1	1	2	1	1	15
OG0001442	1	1	1	1	1	2	1	1	1	1	1	2	1	15
OG0001443	2	2	1	1	1	2	0	1	1	1	1	1	1	15
OG0001444	2	2	1	1	1	1	1	1	1	1	1	1	1	15
OG0001445	1	2	1	1	1	1	1	1	1	1	1	2	1	15
OG0001446	2	1	1	1	1	2	1	1	1	0	1	1	2	15
OG0001447	1	4	2	1	2	0	1	1	1	1	0	0	1	15
OG0001448	5	8	2	0	0	0	0	0	0	0	0	0	0	15
OG0001449	1	2	2	1	1	1	1	1	1	1	1	1	1	15
OG0001450	1	2	2	2	0	0	1	1	1	1	1	1	2	15
OG0001451	1	1	3	2	1	0	2	0	0	0	0	3	2	15
OG0001452	2	1	1	1	1	1	1	1	1	1	2	1	1	15
OG0001453	1	1	1	1	3	1	1	1	1	1	0	2	1	15
OG0001454	1	1	1	1	1	3	1	1	1	1	1	1	1	15
OG0001455	2	2	2	2	0	1	2	0	0	0	0	1	3	15
OG0001456	1	1	1	1	2	2	1	1	1	1	1	1	1	15
OG0001457	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001458	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001459	3	3	1	1	1	0	1	0	1	1	0	1	2	15
OG0001460	1	1	1	1	1	3	0	1	1	1	2	1	1	15
OG0001461	2	2	1	2	1	1	0	1	1	1	1	1	1	15
OG0001462	2	0	1	2	2	0	1	1	2	2	0	1	1	15
OG0001463	1	1	1	1	1	1	1	3	1	1	1	1	1	15
OG0001464	1	1	1	1	1	1	2	1	2	1	1	1	1	15
OG0001465	2	2	2	2	2	0	1	1	1	1	0	0	1	15
OG0001466	1	1	1	1	1	2	1	1	1	1	1	1	2	15
OG0001467	1	3	1	1	1	1	1	1	1	1	1	1	1	15
OG0001468	1	1	1	2	1	1	1	1	1	1	2	1	1	15
OG0001469	2	4	1	3	0	0	0	1	1	1	0	0	2	15
OG0001470	1	1	1	1	2	2	1	1	1	1	1	1	1	15
OG0001471	2	1	1	0	0	1	1	2	1	1	1	3	1	15
OG0001472	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001473	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001474	1	4	1	2	1	2	1	0	0	0	1	1	1	15
OG0001475	1	2	0	1	1	3	1	1	1	1	1	0	2	15
OG0001476	1	1	1	1	1	4	0	1	1	1	1	1	1	15
OG0001477	5	3	1	2	0	0	1	0	1	1	0	0	1	15
OG0001478	2	2	1	2	1	1	1	1	1	1	0	1	1	15
OG0001479	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001480	1	2	1	3	2	0	1	1	1	1	1	0	1	15
OG0001481	1	1	1	1	1	1	1	2	1	1	1	1	2	15
OG0001482	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001483	1	3	1	1	2	1	1	1	1	1	0	0	2	15
OG0001484	2	1	1	2	1	1	2	0	0	0	0	3	2	15
OG0001485	1	2	1	1	1	1	1	1	1	1	1	2	1	15
OG0001486	2	1	2	1	1	0	1	0	1	1	1	3	1	15
OG0001487	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001488	1	2	1	1	1	1	1	1	1	1	1	2	1	15
OG0001489	1	1	1	1	1	2	2	1	1	1	0	2	1	15
OG0001490	2	2	3	0	0	0	0	1	2	2	0	0	3	15
OG0001491	1	1	1	1	1	3	1	1	1	1	1	1	1	15
OG0001492	14	1	0	0	0	0	0	0	0	0	0	0	0	15
OG0001493	3	1	1	1	1	1	1	1	1	1	1	1	1	15
OG0001494	2	1	1	1	1	1	1	1	1	1	0	1	3	15
OG0001495	1	3	1	1	1	0	2	1	1	1	1	1	1	15
OG0001496	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001497	12	2	0	0	0	0	0	0	0	0	0	0	1	15
OG0001498	2	2	1	2	1	1	1	0	1	1	1	0	2	15
OG0001499	2	2	1	2	1	1	1	0	0	0	0	3	2	15
OG0001500	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001501	2	2	1	1	1	1	1	1	1	1	0	1	2	15
OG0001502	1	1	1	1	1	2	1	1	1	1	1	2	1	15
OG0001503	1	3	1	1	1	1	1	1	1	1	1	1	1	15
OG0001504	1	5	1	1	1	0	1	1	1	1	0	1	1	15
OG0001505	1	1	2	1	2	0	2	1	1	1	0	0	3	15
OG0001506	1	1	2	2	1	1	1	1	1	1	1	1	1	15
OG0001507	1	1	1	1	0	1	1	4	1	1	0	1	2	15
OG0001508	1	1	1	1	2	0	1	1	1	1	1	2	2	15
OG0001509	1	1	2	1	2	1	1	1	1	1	1	1	1	15
OG0001510	1	1	1	1	1	1	1	1	1	1	1	1	3	15
OG0001511	1	1	1	1	1	1	1	1	1	1	1	2	2	15
OG0001512	1	3	2	0	0	0	0	0	4	3	0	0	2	15
OG0001513	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001514	2	2	1	1	2	1	1	1	1	1	0	1	1	15
OG0001515	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001516	1	2	1	2	1	1	1	1	1	1	1	1	1	15
OG0001517	1	1	1	2	3	1	0	1	1	1	1	1	1	15
OG0001518	1	2	1	1	1	1	1	1	1	1	2	1	1	15
OG0001519	1	1	1	1	1	4	1	1	1	1	0	1	1	15
OG0001520	2	2	1	1	1	0	1	1	1	1	1	1	2	15
OG0001521	2	2	1	1	1	2	1	1	1	1	0	0	2	15
OG0001522	1	1	1	1	1	3	1	1	1	1	1	1	1	15
OG0001523	1	1	1	1	1	2	0	2	2	2	0	1	1	15
OG0001524	1	1	1	1	2	2	1	1	1	1	1	1	1	15
OG0001525	1	1	1	1	1	1	2	1	1	1	2	1	1	15
OG0001526	1	2	1	1	1	0	1	1	1	1	3	1	1	15
OG0001527	1	1	1	1	3	1	1	1	1	1	1	1	1	15
OG0001528	1	1	2	1	1	1	1	1	1	1	2	1	1	15
OG0001529	1	1	1	1	2	2	1	1	1	1	1	1	1	15
OG0001530	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001531	2	1	1	2	1	1	1	1	1	1	1	1	1	15
OG0001532	1	1	1	1	2	1	1	0	0	0	1	2	4	15
OG0001533	1	1	1	1	1	3	1	1	1	1	1	1	1	15
OG0001534	3	3	2	1	0	0	0	1	2	2	0	0	1	15
OG0001535	1	3	2	2	1	0	2	1	1	1	0	0	1	15
OG0001536	1	3	1	1	1	1	1	1	1	1	1	1	1	15
OG0001537	1	1	1	1	1	3	1	1	1	1	1	1	1	15
OG0001538	1	1	1	1	1	1	1	1	1	1	2	1	2	15
OG0001539	1	1	1	1	1	1	1	1	1	1	2	2	1	15
OG0001540	1	2	1	1	1	1	1	1	1	1	1	2	1	15
OG0001541	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001542	1	1	1	1	1	1	1	1	3	1	1	1	1	15
OG0001543	1	1	2	2	1	1	1	1	1	1	1	1	1	15
OG0001544	1	1	1	1	1	1	2	1	1	1	2	1	1	15
OG0001545	2	1	1	1	1	1	2	1	1	1	1	1	1	15
OG0001546	1	1	1	2	1	1	1	1	1	1	2	1	1	15
OG0001547	1	1	1	1	1	1	1	1	2	2	1	1	1	15
OG0001548	1	1	1	1	1	2	1	1	1	1	1	1	2	15
OG0001549	2	4	2	0	1	0	3	0	0	0	0	0	3	15
OG0001550	1	1	1	1	1	2	1	1	1	2	1	1	1	15
OG0001551	1	1	3	1	2	0	1	1	2	2	0	0	1	15
OG0001552	2	2	1	1	1	1	1	1	1	1	0	2	1	15
OG0001553	1	2	1	1	1	1	2	1	1	1	1	1	1	15
OG0001554	1	1	2	2	1	1	1	1	1	1	1	1	1	15
OG0001555	1	1	1	1	1	3	1	1	1	1	1	1	1	15
OG0001556	1	1	1	1	1	1	1	1	2	2	1	1	1	15
OG0001557	1	1	1	1	1	2	1	1	1	1	1	2	1	15
OG0001558	1	1	1	2	1	1	1	1	1	1	1	2	1	15
OG0001559	1	3	1	1	0	3	1	1	1	1	0	1	1	15
OG0001560	1	1	1	1	1	2	1	1	1	1	1	2	1	15
OG0001561	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001562	1	1	1	1	2	2	1	1	1	1	1	1	1	15
OG0001563	1	2	1	1	1	1	1	1	1	1	1	2	1	15
OG0001564	1	2	2	1	2	0	1	1	1	1	0	1	2	15
OG0001565	1	1	1	1	1	2	2	1	1	1	1	1	1	15
OG0001566	1	3	1	1	1	0	1	1	1	1	1	2	1	15
OG0001567	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001568	1	3	3	2	1	0	0	1	1	1	0	1	1	15
OG0001569	1	1	1	1	2	2	1	1	1	1	1	1	1	15
OG0001570	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001571	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001572	3	1	1	1	1	2	1	1	1	1	0	1	1	15
OG0001573	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001574	2	1	3	1	0	0	2	0	1	1	0	4	0	15
OG0001575	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001576	1	1	1	1	1	1	1	1	1	1	1	3	1	15
OG0001577	1	1	1	1	1	1	1	1	1	1	3	1	1	15
OG0001578	1	1	1	1	1	1	2	1	1	1	2	1	1	15
OG0001579	2	1	2	1	1	1	1	1	1	1	1	1	1	15
OG0001580	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001581	1	1	1	1	2	1	2	1	1	1	1	1	1	15
OG0001582	1	1	1	1	1	2	1	1	1	1	1	2	1	15
OG0001583	2	2	1	2	1	2	1	0	1	1	0	1	1	15
OG0001584	1	1	1	1	1	3	1	1	1	1	1	1	1	15
OG0001585	1	3	0	1	1	1	1	1	1	1	2	1	1	15
OG0001586	1	4	1	1	1	1	1	1	1	0	1	2	0	15
OG0001587	1	3	1	1	1	1	1	1	1	1	1	1	1	15
OG0001588	1	2	1	1	1	2	1	1	1	1	1	1	1	15
OG0001589	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001590	1	2	1	1	1	1	1	1	1	2	1	1	1	15
OG0001591	1	3	1	2	1	1	0	1	1	1	1	1	1	15
OG0001592	2	1	0	4	0	0	3	0	0	0	0	0	5	15
OG0001593	1	1	1	1	1	1	2	1	2	2	0	0	2	15
OG0001594	1	2	1	1	1	2	1	1	1	1	1	1	1	15
OG0001595	1	1	2	1	1	1	1	1	2	1	1	1	1	15
OG0001596	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001597	1	2	1	1	1	1	1	1	1	1	2	1	1	15
OG0001598	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001599	1	1	1	1	1	1	1	1	1	1	2	1	2	15
OG0001600	1	1	1	1	1	1	1	1	1	1	1	2	2	15
OG0001601	1	3	1	1	1	0	1	1	1	1	2	1	1	15
OG0001602	1	1	1	1	1	1	1	1	1	1	2	2	1	15
OG0001603	1	1	1	2	1	2	0	1	1	1	2	1	1	15
OG0001604	1	1	1	1	1	1	1	1	1	1	2	2	1	15
OG0001605	1	1	1	1	2	1	1	1	1	1	1	1	2	15
OG0001606	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001607	1	4	1	1	1	1	1	1	1	1	0	1	1	15
OG0001608	2	1	1	1	1	2	1	1	1	1	1	1	1	15
OG0001609	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001610	1	2	1	1	1	1	2	1	1	1	1	1	1	15
OG0001611	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001612	2	1	1	1	1	1	1	0	2	2	1	1	1	15
OG0001613	1	2	1	1	1	1	1	1	1	1	2	1	1	15
OG0001614	1	1	1	1	1	1	1	1	2	2	1	1	1	15
OG0001615	1	3	1	1	1	1	1	1	1	1	1	1	1	15
OG0001616	1	1	2	2	1	1	1	1	1	1	1	1	1	15
OG0001617	1	3	1	1	1	1	1	1	1	1	1	1	1	15
OG0001618	1	2	1	1	1	2	1	1	1	1	1	1	1	15
OG0001619	1	1	1	1	1	2	1	1	1	1	1	2	1	15
OG0001620	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001621	1	1	1	1	1	2	1	2	1	1	1	1	1	15
OG0001622	1	3	1	1	1	1	1	1	1	1	1	1	1	15
OG0001623	1	1	2	1	1	1	1	1	1	1	2	1	1	15
OG0001624	1	1	1	1	1	1	3	1	1	1	1	1	1	15
OG0001625	1	3	2	1	1	1	1	1	1	1	0	1	1	15
OG0001626	1	1	1	1	2	2	1	1	1	1	1	1	1	15
OG0001627	1	1	1	2	1	1	1	3	1	1	0	1	1	15
OG0001628	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001629	1	1	1	1	1	2	2	0	1	1	2	1	1	15
OG0001630	1	2	1	2	0	0	2	1	1	1	1	1	2	15
OG0001631	2	3	1	1	1	2	0	1	0	1	1	1	1	15
OG0001632	2	1	2	1	1	1	1	1	1	1	1	1	1	15
OG0001633	1	1	1	1	1	2	0	1	1	2	1	1	2	15
OG0001634	1	1	1	2	2	1	1	1	1	1	1	1	1	15
OG0001635	1	1	1	1	1	2	1	2	1	1	1	1	1	15
OG0001636	1	1	1	1	1	2	1	1	1	1	2	1	1	15
OG0001637	1	1	1	1	2	2	1	1	1	1	0	0	3	15
OG0001638	1	1	1	1	2	1	1	1	1	1	2	1	1	15
OG0001639	1	1	1	1	1	2	1	1	1	1	1	1	2	15
OG0001640	1	1	1	1	2	1	1	1	1	2	1	1	1	15
OG0001641	1	1	1	1	1	1	1	1	1	1	1	1	3	15
OG0001642	1	1	2	1	2	1	1	1	1	2	0	1	1	15
OG0001643	1	1	1	1	1	4	0	2	1	1	0	1	1	15
OG0001644	1	3	1	1	1	1	1	1	1	1	1	1	1	15
OG0001645	1	1	1	1	2	1	1	1	1	1	2	1	1	15
OG0001646	1	4	1	1	1	0	1	1	1	2	0	0	2	15
OG0001647	1	1	2	1	1	1	1	1	1	1	1	1	2	15
OG0001648	1	1	1	1	1	1	1	1	1	1	3	1	1	15
OG0001649	2	1	2	1	1	1	1	1	1	1	0	1	2	15
